"","loc","longitude","latitude","year"
"1",3010,-119.1566467,35.50721359,2013
"2",3061,-119.1651688,35.50902557,2013
"3",3071,-119.9717484,35.65095139,2013
"4",3141,-119.1556549,35.64027786,2013
"5",3151,-119.4108734,35.64144516,2013
"6",3161,-119.3930893,35.6496582,2013
"7",3201,-119.7277298,35.49274826,2013
"8",3230,-119.7372055,35.51702881,2013
"9",3331,-119.3653336,35.6703186,2013
"10",3341,-119.7864227,35.5635376,2013
"11",3380,-119.6947174,35.50262451,2013
"12",3490,-119.8180542,35.7495079,2013
"13",3530,-119.1915512,35.55502701,2013
"14",3541,-119.2307053,35.60546875,2013
"15",3631,-119.2043228,35.53890228,2013
"16",3640,-119.2464218,35.52485657,2013
"17",3680,-119.2229385,35.5361557,2013
"18",3740,-119.7153015,35.54929733,2013
"19",3770,-119.694313,35.55051422,2013
"20",3780,-119.7292023,35.56487274,2013
"21",3800,-119.7522964,35.58639145,2013
"22",3810,-119.7684402,35.6069603,2013
"23",3820,-119.7029648,35.49545288,2013
"24",3840,-119.2483521,35.6230545,2013
"25",3860,-119.7198486,35.50320053,2013
"26",3870,-119.7207718,35.51005554,2013
"27",3881,-119.255806,35.56662369,2013
"28",3940,-119.22966,35.63796616,2013
"29",3961,-119.75457,35.61228943,2013
"30",3010,-119.1566467,35.50721359,2014
"31",3061,-119.1651688,35.50902557,2014
"32",3071,-119.9717484,35.65095139,2014
"33",3161,-119.3930893,35.6496582,2014
"34",3201,-119.7277298,35.49274826,2014
"35",3230,-119.7372055,35.51702881,2014
"36",3341,-119.7864227,35.5635376,2014
"37",3380,-119.6947174,35.50262451,2014
"38",3490,-119.8180542,35.7495079,2014
"39",3530,-119.1915512,35.55502701,2014
"40",3580,-119.6940689,35.48826218,2014
"41",3620,-119.2447891,35.53525162,2014
"42",3631,-119.2043228,35.53890228,2014
"43",3640,-119.2464218,35.52485657,2014
"44",3680,-119.2229385,35.5361557,2014
"45",3740,-119.7153015,35.54929733,2014
"46",3770,-119.694313,35.55051422,2014
"47",3780,-119.7292023,35.56487274,2014
"48",3800,-119.7522964,35.58639145,2014
"49",3810,-119.7684402,35.6069603,2014
"50",3820,-119.7029648,35.49545288,2014
"51",3840,-119.2483521,35.6230545,2014
"52",3860,-119.7198486,35.50320053,2014
"53",3870,-119.7207718,35.51005554,2014
"54",3881,-119.255806,35.56662369,2014
"55",3940,-119.22966,35.63796616,2014
"56",3961,-119.75457,35.61228943,2014
"57",3331,-119.3653336,35.6703186,2014
"58",4050,-119.916687,35.70906067,2013
"59",4070,-119.9433517,35.73655701,2013
"60",4140,-119.8750534,35.8253746,2013
"61",4170,-119.6946869,35.52092743,2013
"62",4180,-119.7119446,35.5358429,2013
"63",4190,-119.7043304,35.51284409,2013
"64",4200,-119.1458206,35.61790466,2013
"65",4220,-119.1421585,35.60583115,2013
"66",4230,-120.1099319,35.68049622,2013
"67",4240,-120.0843887,35.67704391,2013
"68",4260,-119.1600494,35.58041382,2013
