loc,longitude,latitude,year,date,gens,DD_vince,jd_vince,obsp,predict,moths,cumoths,dataset
3071,-119.9717484,35.65095139,2013,10/23/2013,3,1788,296,0.885294139,0.691669106,104,602,1
3141,-119.1556549,35.64027786,2013,3/20/2013,0,137,79,0.07526882,0.080869123,12.5,14,1
3141,-119.1556549,35.64027786,2013,3/27/2013,0,161,86,0.145161286,0.132590696,13,27,1
3141,-119.1556549,35.64027786,2013,4/3/2013,0,198,93,0.279569894,0.236749873,25,52,1
3141,-119.1556549,35.64027786,2013,4/10/2013,0,227,100,0.279569894,0.338703483,0,52,1
3141,-119.1556549,35.64027786,2013,4/17/2013,0,260,107,0.295698911,0.471301913,3,55,1
3141,-119.1556549,35.64027786,2013,4/24/2013,0,315,114,0.459677428,0.685304284,30.5,85.5,1
3141,-119.1556549,35.64027786,2013,5/1/2013,0,380,121,0.629032254,0.875809848,31.5,117,1
3141,-119.1556549,35.64027786,2013,5/8/2013,0,427,128,0.84946239,0.95118475,41,158,1
3141,-119.1556549,35.64027786,2013,5/15/2013,0,489,135,0.924731195,0.990148664,14,172,1
3141,-119.1556549,35.64027786,2013,6/5/2013,1,651,156,0.233644858,0.183128178,20.5,25,1
3141,-119.1556549,35.64027786,2013,6/12/2013,1,710,163,0.271028042,0.28138575,4,29,1
3141,-119.1556549,35.64027786,2013,6/19/2013,1,775,170,0.341121495,0.416142732,7.5,36.5,1
3141,-119.1556549,35.64027786,2013,6/26/2013,1,846,177,0.453271031,0.587375522,12,48.5,1
3141,-119.1556549,35.64027786,2013,7/3/2013,1,900,184,0.598130822,0.714028955,15.5,64,1
3141,-119.1556549,35.64027786,2013,7/10/2013,1,953,191,0.803738296,0.821067393,22,86,1
3141,-119.1556549,35.64027786,2013,7/16/2013,1,1000,197,0.822429895,0.895321012,2,88,1
3141,-119.1556549,35.64027786,2013,9/18/2013,3,1570,261,0.18515037,0.105185896,98.5,98.5,1
3141,-119.1556549,35.64027786,2013,9/26/2013,3,1627,269,0.372180462,0.191130266,99.5,198,1
3141,-119.1556549,35.64027786,2013,10/2/2013,3,1671,275,0.529135346,0.291056693,83.5,281.5,1
3141,-119.1556549,35.64027786,2013,10/9/2013,3,1715,282,0.666353405,0.422944069,73,354.5,1
3141,-119.1556549,35.64027786,2013,10/16/2013,3,1751,289,0.825187981,0.553576171,84.5,439,1
3141,-119.1556549,35.64027786,2013,10/23/2013,3,1799,296,0.945488751,0.731739461,64,503,1
3151,-119.4108734,35.64144516,2013,3/27/2013,0,176,86,0.11585366,0.170423597,7.5,9.5,1
3151,-119.4108734,35.64144516,2013,4/3/2013,0,214,93,0.317073166,0.291599393,16.5,26,1
3151,-119.4108734,35.64144516,2013,4/10/2013,0,247,100,0.5,0.417090416,15,41,1
3151,-119.4108734,35.64144516,2013,4/17/2013,0,282,107,0.658536613,0.557681501,13,54,1
3151,-119.4108734,35.64144516,2013,4/24/2013,0,337,114,0.810975611,0.761229932,12.5,66.5,1
3151,-119.4108734,35.64144516,2013,5/1/2013,0,399,121,0.939024389,0.912328422,10.5,77,1
3151,-119.4108734,35.64144516,2013,7/31/2013,2,1171,212,0.123595506,0.124004409,49.5,49.5,1
3151,-119.4108734,35.64144516,2013,8/7/2013,2,1240,219,0.317103624,0.241829634,77.5,127,1
3151,-119.4108734,35.64144516,2013,8/14/2013,2,1310,226,0.51435703,0.426646709,79,206,1
3151,-119.4108734,35.64144516,2013,8/21/2013,2,1369,233,0.744069934,0.623137474,92,298,1
3151,-119.4108734,35.64144516,2013,8/28/2013,2,1432,240,0.913857698,0.825651109,68,366,1
3161,-119.3930893,35.6496582,2013,3/20/2013,0,150,79,0.069387756,0.106157899,8.5,8.5,1
3161,-119.3930893,35.6496582,2013,3/27/2013,0,176,86,0.187755108,0.170423597,14.5,23,1
3161,-119.3930893,35.6496582,2013,4/3/2013,0,214,93,0.265306115,0.291599393,9.5,32.5,1
3161,-119.3930893,35.6496582,2013,4/10/2013,0,247,100,0.453061223,0.417090416,23,55.5,1
3161,-119.3930893,35.6496582,2013,4/17/2013,0,282,107,0.653061211,0.557681501,24.5,80,1
3161,-119.3930893,35.6496582,2013,4/24/2013,0,337,114,0.808163285,0.761229932,19,99,1
3161,-119.3930893,35.6496582,2013,5/1/2013,0,399,121,0.906122446,0.912328422,12,111,1
3161,-119.3930893,35.6496582,2013,6/12/2013,1,745,163,0.106508873,0.350597322,6,9,1
3161,-119.3930893,35.6496582,2013,6/19/2013,1,809,170,0.284023672,0.49640435,15,24,1
3161,-119.3930893,35.6496582,2013,6/26/2013,1,881,177,0.372781068,0.669532001,7.5,31.5,1
3161,-119.3930893,35.6496582,2013,7/3/2013,1,935,184,0.538461566,0.788347065,14,45.5,1
3161,-119.3930893,35.6496582,2013,7/10/2013,1,990,191,0.727810621,0.88128078,16,61.5,1
3161,-119.3930893,35.6496582,2013,7/16/2013,1,1038,197,0.739644945,0.93824327,1,62.5,1
3201,-119.7277298,35.49274826,2013,3/27/2013,0,179,86,0.057110861,0.179669738,16.5,25.5,1
3201,-119.7277298,35.49274826,2013,4/3/2013,0,214,93,0.185890257,0.29056561,57.5,83,1
3201,-119.7277298,35.49274826,2013,4/10/2013,0,248,100,0.294512868,0.421361148,48.5,131.5,1
3201,-119.7277298,35.49274826,2013,4/17/2013,0,279,107,0.426651746,0.545210183,59,190.5,1
3201,-119.7277298,35.49274826,2013,4/24/2013,0,329,114,0.596864522,0.734028816,76,266.5,1
3201,-119.7277298,35.49274826,2013,5/1/2013,0,389,121,0.764837623,0.894596159,75,341.5,1
3201,-119.7277298,35.49274826,2013,5/8/2013,0,437,128,0.918253064,0.960371435,68.5,410,1
3201,-119.7277298,35.49274826,2013,9/4/2013,3,1570,247,0.126967475,0.105017371,121,121,1
3201,-119.7277298,35.49274826,2013,9/11/2013,3,1645,254,0.234522566,0.228440478,102.5,223.5,1
3201,-119.7277298,35.49274826,2013,9/18/2013,3,1713,261,0.329485834,0.415352821,90.5,314,1
3201,-119.7277298,35.49274826,2013,9/26/2013,3,1771,269,0.449632734,0.629186749,114.5,428.5,1
3201,-119.7277298,35.49274826,2013,10/2/2013,3,1815,275,0.585519433,0.784707189,129.5,558,1
3201,-119.7277298,35.49274826,2013,10/9/2013,3,1859,282,0.730849922,0.906877637,138.5,696.5,1
3201,-119.7277298,35.49274826,2013,10/16/2013,3,1898,289,0.822140634,0.968436241,87,783.5,1
3201,-119.7277298,35.49274826,2013,10/23/2013,3,1943,296,0.926023066,0.995060623,99,882.5,1
3230,-119.7372055,35.51702881,2013,9/4/2013,3,1552,247,0.155450881,0.085636392,115.5,115.5,1
3230,-119.7372055,35.51702881,2013,9/11/2013,3,1625,254,0.310228795,0.186714858,115,230.5,1
3230,-119.7372055,35.51702881,2013,9/18/2013,3,1693,261,0.420592189,0.351982325,82,312.5,1
3230,-119.7372055,35.51702881,2013,9/26/2013,3,1753,269,0.526917875,0.559154212,79,391.5,1
3230,-119.7372055,35.51702881,2013,10/2/2013,3,1797,275,0.63526243,0.723870575,80.5,472,1
3230,-119.7372055,35.51702881,2013,10/9/2013,3,1842,282,0.73889637,0.866239846,77,549,1
3230,-119.7372055,35.51702881,2013,10/16/2013,3,1881,289,0.833109021,0.948228121,70,619,1
3230,-119.7372055,35.51702881,2013,10/23/2013,3,1928,296,0.915208638,0.990178108,61,680,1
3230,-119.7372055,35.51702881,2013,5/22/2013,1,557,142,0.114864863,0.080904551,17,17,1
3230,-119.7372055,35.51702881,2013,5/29/2013,1,606,149,0.125,0.12646082,1.5,18.5,1
3230,-119.7372055,35.51702881,2013,6/5/2013,1,671,156,0.307432443,0.213879421,27,45.5,1
3230,-119.7372055,35.51702881,2013,6/12/2013,1,747,163,0.337837845,0.35640049,4.5,50,1
3230,-119.7372055,35.51702881,2013,6/19/2013,1,808,170,0.452702701,0.494199455,17,67,1
3230,-119.7372055,35.51702881,2013,6/26/2013,1,877,177,0.645270288,0.66144675,28.5,95.5,1
3230,-119.7372055,35.51702881,2013,7/3/2013,1,935,184,0.729729712,0.786772847,12.5,108,1
3230,-119.7372055,35.51702881,2013,7/10/2013,1,996,191,0.92567569,0.890348077,29,137,1
3230,-119.7372055,35.51702881,2013,9/4/2013,3,1552,247,0.151977792,0.085636392,109.5,109.5,1
3230,-119.7372055,35.51702881,2013,9/11/2013,3,1625,254,0.328244269,0.186714858,127,236.5,1
3230,-119.7372055,35.51702881,2013,9/18/2013,3,1693,261,0.448993742,0.351982325,87,323.5,1
3230,-119.7372055,35.51702881,2013,9/26/2013,3,1753,269,0.549618304,0.559154212,72.5,396,1
3230,-119.7372055,35.51702881,2013,10/2/2013,3,1797,275,0.655100644,0.723870575,76,472,1
3230,-119.7372055,35.51702881,2013,10/9/2013,3,1842,282,0.77515614,0.866239846,86.5,558.5,1
3230,-119.7372055,35.51702881,2013,10/16/2013,3,1881,289,0.852879941,0.948228121,56,614.5,1
3230,-119.7372055,35.51702881,2013,10/23/2013,3,1928,296,0.946564913,0.990178108,67.5,682,1
3331,-119.3653336,35.6703186,2013,3/20/2013,0,145,79,0.100652374,0.097161457,41,54,1
3331,-119.3653336,35.6703186,2013,3/27/2013,0,172,86,0.199440822,0.158319712,53,107,1
3331,-119.3653336,35.6703186,2013,4/3/2013,0,210,93,0.374650508,0.275887012,94,201,1
3331,-119.3653336,35.6703186,2013,4/10/2013,0,242,100,0.520969272,0.398017555,78.5,279.5,1
3331,-119.3653336,35.6703186,2013,4/17/2013,0,277,107,0.671015859,0.539817929,80.5,360,1
3331,-119.3653336,35.6703186,2013,4/24/2013,0,333,114,0.794967353,0.746700943,66.5,426.5,1
3331,-119.3653336,35.6703186,2013,5/1/2013,0,395,121,0.920782864,0.904979885,67.5,494,1
3331,-119.3653336,35.6703186,2013,7/31/2013,2,1152,212,0.079388201,0.102308504,54.5,54.5,1
